image,ground_truth,prediction,CER_score
test045_1.jpg,S1347LJ,S LV 1347,0.8571428571428571
test046_1.jpg,L1470ABK,L1470,0.375
test046_2.jpg,L1265MX,L1236,0.5714285714285714
test047_1.jpg,N1524SY,N1523SY,0.14285714285714285
test047_2.jpg,L1678ACE,L17678,0.5
test048_1.jpg,L9316BC,LF9316,0.42857142857142855
test048_2.jpg,N1838AY,1838,0.42857142857142855
test049_1.jpg,N1376DE,N1376DE,0.0
test049_2.jpg,N79AP,N79,0.4
test050_1.jpg,L1265OF,1265,0.42857142857142855
test050_2.jpg,N1095G,N101456,0.5
test051_1.jpg,N1718HC,N171818,0.2857142857142857
test052_1.jpg,N6497KS,678476,0.8571428571428571
test052_2.jpg,N5235ABX,NS5239,0.625
test052_3.jpg,N4980KJ,N49800,0.2857142857142857
test053_1.jpg,N1365AAG,N101965,0.75
test054_1.jpg,N1077AAK,N10177,0.5
test054_2.jpg,N1084AAB,The license plate number shown in the image is LN1087AAA.,6.375
test055_1.jpg,N1610KS,1609,0.5714285714285714
test056_1.jpg,N924CIA,N927C,0.42857142857142855
test056_2.jpg,N1623HB,1623,0.42857142857142855
test056_3.jpg,L1430HF,1430,0.42857142857142855
test057_1.jpg,N1342T,N1342T,0.0
test057_2.jpg,H4145AB,NY 1835,1.0
test057_3.jpg,N1396AAH,N1389AAA,0.375
test058_1.jpg,N3153ACB,N313AB,0.25
test058_2.jpg,H5829KJ,5682,0.7142857142857143
test058_3.jpg,N1780JL,N1780JL,0.0
test059_1.jpg,W8774PA,W877,0.42857142857142855
test059_2.jpg,B9162FXU,B-9191,0.75
test060_1.jpg,L1846JE,1865,0.5714285714285714
test060_2.jpg,M1457ITA,M14657,0.5
test061_1.jpg,AA1971KJ,AA1971,0.25
test061_2.jpg,BD1146DH,BDH141146,0.625
test062_1.jpg,B9654PEU,B965,0.5
test062_2.jpg,AE7244S,AE-7215,0.5714285714285714
test063_1.jpg,S1208BI,1238 BI,0.42857142857142855
test064_1.jpg,AE8137G,AE8179,0.2857142857142857
test065_1.jpg,H1706SW,H17096,0.42857142857142855
test066_1.jpg,L1229HS,123,0.7142857142857143
test066_2.jpg,H1790ZY,1790,0.42857142857142855
test067_1.jpg,L1855BR,1856,0.5714285714285714
test067_2.jpg,AB1274EV,ABL1271,0.5
test068_1.jpg,B2310UZS,2301,0.625
test068_2.jpg,G1264CM,1265,0.5714285714285714
test069_1.jpg,AA1138AK,AA138,0.375
test070_1.jpg,B2160TOB,B2160C,0.375
test070_2.jpg,B2597BYK,2597,0.5
test071_1.jpg,G9545AG,G9565,0.42857142857142855
test072_1.jpg,BG1870IB,1870,0.5
test073_1.jpg,T1187HB,1986,0.7142857142857143
test073_2.jpg,A1330FP,A1330,0.2857142857142857
test074_1.jpg,G1368GE,1368,0.42857142857142855
test074_2.jpg,B1081CMR,B101109,0.5
test075_1.jpg,G2414XZ,6527,1.0
test075_2.jpg,G9173BP,9173,0.42857142857142855
test075_3.jpg,TIDAK_TERBACA,The license plate number shown in the image is 1234567890.,4.384615384615385
test076_1.jpg,G2151ASF,The license plate number shown in the image is 612375.,6.625
test076_2.jpg,E500MA,"The license plate number shown in the image is ""the 500"".",9.0
test076_3.jpg,G4689SN,G-426809,0.7142857142857143
test077_1.jpg,G1754DZ,617-1754,0.8571428571428571
test078_1.jpg,H1413DH,1413,0.42857142857142855
test079_1.jpg,T1688GY,1687,0.5714285714285714
test079_2.jpg,A1260AJ,AJ1265,0.5714285714285714
test080_1.jpg,D77HSB,777 HSBB,0.5
test080_2.jpg,B1661TQJ,B180197,0.625
test080_3.jpg,D1160ADE,LDA160,0.625
test081_1.jpg,F8097BD,8097,0.42857142857142855
test081_2.jpg,F1992AM,F123456789,1.1428571428571428
test082_1.jpg,E1824YZ,1823,0.5714285714285714
test082_2.jpg,B9093UEX,B90396,0.5
test083_1.jpg,F5052AAE,F-5067,0.75
test083_2.jpg,F5452CQ,5623,0.7142857142857143
test084_1.jpg,B1158PYP,1698,0.75
test084_2.jpg,B1242VOY,B123456789,0.75
