image,ground_truth,prediction,CER_score
test060_1.jpg,L1846JE,L1846JE,0.0
test060_2.jpg,M1457ITA,M1457ITA,0.0
test061_1.jpg,AA1971KJ,AA1971KJ,0.0
test061_2.jpg,BD1146DH,BD1146DH,0.0
test062_1.jpg,B9654PEU,B9654PEU,0.0
test062_2.jpg,AE7244S,AE7244S,0.0
test063_1.jpg,S1208BI,S1208BI,0.0
test064_1.jpg,AE8137G,AE8137G,0.0
test065_1.jpg,H1706SW,H1706SW,0.0
test066_1.jpg,L1229HS,1220HS,0.2857142857142857
test066_2.jpg,H1790ZY,H1790ZY,0.0
test067_1.jpg,L1855BR,L1855BR,0.0
test067_2.jpg,AB1274EV,AB1274EV,0.0
test068_1.jpg,B2310UZS,B2310UZS,0.0
test068_2.jpg,G1264CM,G1264CM,0.0
test069_1.jpg,AA1138AK,AA1138AK,0.0
test070_1.jpg,B2160TOB,B2160TOB,0.0
test070_2.jpg,B2597BYK,B2597BYK,0.0
test071_1.jpg,G9545AG,G9545AG,0.0
test072_1.jpg,BG1870IB,BG1870IB,0.0
test073_1.jpg,T1187HB,T1187HB,0.0
test073_2.jpg,A1330FP,A1330FP,0.0
test074_1.jpg,G1368GE,G1368GE,0.0
test074_2.jpg,B1081CMR,B1081CMR,0.0
test075_1.jpg,G2414XZ,G2474X2,0.2857142857142857
test075_2.jpg,G9173BP,G9173BP,0.0
test075_3.jpg,TIDAK_TERBACA,710662F,1.0
test076_1.jpg,G2151ASF,G2151ASF,0.0
test076_2.jpg,E500MA,E500MA,0.0
test076_3.jpg,G4689SN,G4609SN,0.14285714285714285
test077_1.jpg,G1754DZ,G1754OZ,0.14285714285714285
test078_1.jpg,H1413DH,H1413DH,0.0
test079_1.jpg,T1688GY,T1688GY,0.0
test079_2.jpg,A1260AJ,A1260AJ,0.0
test080_1.jpg,D77HSB,D77HSB,0.0
test080_2.jpg,B1661TQJ,B1861781,0.5
test080_3.jpg,D1160ADE,D1160ADE,0.0
test081_1.jpg,F8097BD,F8097BD,0.0
test081_2.jpg,F1992AM,F1992AM,0.0
test082_1.jpg,E1824YZ,E1824YZ,0.0
test082_2.jpg,B9093UEX,B9093DEX,0.125
test083_1.jpg,F5052AAE,F5052AAE,0.0
test083_2.jpg,F5452CQ,F5452CO,0.14285714285714285
test084_1.jpg,B1158PYP,B1158PYP,0.0
test084_2.jpg,B1242VOY,B1242VOY,0.0
